Buy Threshold,Sell Threshold,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
0.25,-0.085,0.15,2.61,-3.06,-4.43,-3.48,7.45,-2.97,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.66
0.25,-0.09,0.15,2.61,-3.06,-4.43,-3.48,7.45,-2.97,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.66
0.25,-0.095,0.33,2.61,-3.06,-4.25,-3.48,7.45,-2.97,4.22,-5.69,-1.83,-4.25,1.0,0.08,-9.84
0.25,-0.1,0.33,2.61,-3.96,-4.25,-3.48,7.45,-2.97,4.22,-5.69,-1.83,-4.25,1.0,0.08,-10.74
0.25,-0.105,0.33,2.61,-3.96,-4.27,-3.48,7.45,-2.97,4.22,-5.69,-1.83,-4.25,0.74,0.08,-11.02
0.25,-0.11,0.33,2.61,-3.96,-4.27,0.0,7.45,-2.97,4.22,-5.69,-1.83,-4.25,0.04,0.08,-8.24
0.25,-0.115,0.33,2.61,-3.96,-4.27,0.0,7.45,-2.97,4.22,-5.69,-1.83,-4.25,0.04,0.08,-8.24
0.25,-0.12,0.33,2.93,-3.96,-2.16,0.0,7.45,-2.97,4.22,-5.69,-1.83,-4.25,0.04,0.08,-5.81
0.25,-0.125,0.33,2.93,-3.96,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,-4.25,0.04,0.08,-12.13
0.25,-0.13,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.08,-8.59
0.25,-0.135,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.08,-8.59
0.25,-0.14,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.08,-8.59
0.25,-0.145,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.15,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.155,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.16,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.165,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.17,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.175,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.18,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,4.22,-5.69,-1.83,0.0,0.04,0.0,-8.67
0.25,-0.185,0.33,0.0,-1.74,-1.39,0.0,0.36,-2.97,0.0,-5.69,-1.83,0.0,0.04,0.0,-12.89
0.25,-0.19,0.33,0.0,0.0,-1.39,0.0,0.36,-2.97,0.0,-5.69,-1.83,0.0,0.04,0.0,-11.15
0.25,-0.195,0.33,0.0,0.0,-1.39,0.0,0.36,-2.97,0.0,-5.69,-1.83,0.0,0.04,0.0,-11.15
0.25,-0.2,0.33,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.18
0.25,-0.205,0.33,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.18
0.25,-0.21,0.33,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.18
0.25,-0.215,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.51
0.25,-0.22,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.51
0.25,-0.225,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.51
0.25,-0.23,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.51
0.25,-0.235,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.51
0.25,-0.24,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.51
0.25,-0.245,0.0,0.0,0.0,-1.39,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-8.51
0.245,0.0,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,-4.51,1.0,-0.55,-13.54
0.245,-0.005,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-13.39
0.245,-0.01,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-14.29
0.245,-0.015,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-14.29
0.245,-0.02,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.245,-0.025,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.245,-0.03,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.245,-0.035,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.245,-0.04,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.245,-0.045,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.245,-0.05,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.245,-0.055,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.245,-0.06,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.245,-0.065,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.245,-0.07,0.15,2.61,-3.06,-4.4,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.4,-10.46
0.245,-0.075,0.15,2.61,-3.06,-4.4,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.44
0.245,-0.08,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.245,-0.085,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.245,-0.09,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.245,-0.095,0.33,2.61,-3.06,-4.03,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,0.08,-9.43
0.245,-0.1,0.33,2.61,-3.96,-4.03,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,0.08,-10.33
0.245,-0.105,0.33,2.61,-3.96,-4.05,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,0.74,0.08,-10.61
0.245,-0.11,0.33,2.61,-3.96,-4.05,0.0,7.45,-2.78,4.22,-5.69,-1.83,-4.25,0.04,0.08,-7.83
0.245,-0.115,0.33,2.61,-3.96,-4.05,0.0,7.45,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-8.46
0.245,-0.12,0.33,2.93,-3.96,-1.94,0.0,7.45,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-6.03
0.245,-0.125,0.33,2.93,-3.96,-1.17,0.0,0.36,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-12.35
0.245,-0.13,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.245,-0.135,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.245,-0.14,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.245,-0.145,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.245,-0.15,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.245,-0.155,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.245,-0.16,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.245,-0.165,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.245,-0.17,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.245,-0.175,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.245,-0.18,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.245,-0.185,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-11.74
0.245,-0.19,0.33,0.0,0.0,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-10.0
0.245,-0.195,0.33,0.0,0.0,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-10.0
0.245,-0.2,0.33,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.33
0.245,-0.205,0.33,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.33
0.245,-0.21,0.33,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.33
0.245,-0.215,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.245,-0.22,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.245,-0.225,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.245,-0.23,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.245,-0.235,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.245,-0.24,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.245,-0.245,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.24,0.0,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,-4.51,1.0,-0.55,-13.54
0.24,-0.005,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-13.39
0.24,-0.01,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-14.29
0.24,-0.015,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-14.29
0.24,-0.02,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.24,-0.025,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.24,-0.03,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.24,-0.035,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.24,-0.04,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.24,-0.045,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.24,-0.05,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.24,-0.055,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.24,-0.06,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.24,-0.065,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.24,-0.07,0.15,2.61,-3.06,-4.4,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.4,-10.46
0.24,-0.075,0.15,2.61,-3.06,-4.4,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.44
0.24,-0.08,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.24,-0.085,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.24,-0.09,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.24,-0.095,0.33,2.61,-3.06,-4.03,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,0.08,-9.43
0.24,-0.1,0.33,2.61,-3.96,-4.03,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,0.08,-10.33
0.24,-0.105,0.33,2.61,-3.96,-4.05,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,0.74,0.08,-10.61
0.24,-0.11,0.33,2.61,-3.96,-4.05,0.0,7.45,-2.78,4.22,-5.69,-1.83,-4.25,0.04,0.08,-7.83
0.24,-0.115,0.33,2.61,-3.96,-4.05,0.0,7.45,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-8.46
0.24,-0.12,0.33,2.93,-3.96,-1.94,0.0,7.45,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-6.03
0.24,-0.125,0.33,2.93,-3.96,-1.17,0.0,0.36,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-12.35
0.24,-0.13,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.24,-0.135,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.24,-0.14,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.24,-0.145,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.24,-0.15,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.24,-0.155,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.24,-0.16,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.24,-0.165,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.24,-0.17,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.24,-0.175,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.24,-0.18,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.24,-0.185,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-11.74
0.24,-0.19,0.33,0.0,0.0,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-10.0
0.24,-0.195,0.33,0.0,0.0,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-10.0
0.24,-0.2,0.33,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.33
0.24,-0.205,0.33,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.33
0.24,-0.21,0.33,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.33
0.24,-0.215,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.24,-0.22,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.24,-0.225,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.24,-0.23,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.24,-0.235,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.24,-0.24,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.24,-0.245,0.0,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.66
0.235,0.0,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,-4.51,1.0,-0.55,-13.54
0.235,-0.005,0.15,2.61,-4.75,-3.14,-3.48,7.45,-5.02,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-13.39
0.235,-0.01,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-14.29
0.235,-0.015,0.15,2.61,-4.75,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-14.29
0.235,-0.02,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.235,-0.025,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.235,-0.03,0.15,2.61,-3.06,-4.11,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.6
0.235,-0.035,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.235,-0.04,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.235,-0.045,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.235,-0.05,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.235,-0.055,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.235,-0.06,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.235,-0.065,0.15,2.61,-3.06,-4.4,-3.48,7.45,-4.95,4.22,-5.69,-1.83,-4.51,1.0,-0.4,-12.89
0.235,-0.07,0.15,2.61,-3.06,-4.4,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.4,-10.46
0.235,-0.075,0.15,2.61,-3.06,-4.4,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.44
0.235,-0.08,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.235,-0.085,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.235,-0.09,0.15,2.61,-3.06,-4.21,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,-0.38,-10.25
0.235,-0.095,0.33,2.61,-3.06,-4.03,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,0.08,-9.43
0.235,-0.1,0.33,2.61,-3.96,-4.03,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,1.0,0.08,-10.33
0.235,-0.105,0.33,2.61,-3.96,-4.05,-3.48,7.45,-2.78,4.22,-5.69,-1.83,-4.25,0.74,0.08,-10.61
0.235,-0.11,0.33,2.61,-3.96,-4.05,0.0,7.45,-2.78,4.22,-5.69,-1.83,-4.25,0.04,0.08,-7.83
0.235,-0.115,0.33,2.61,-3.96,-4.05,0.0,7.45,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-8.46
0.235,-0.12,0.33,2.93,-3.96,-1.94,0.0,7.45,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-6.03
0.235,-0.125,0.33,2.93,-3.96,-1.17,0.0,0.36,-3.41,4.22,-5.69,-1.83,-4.25,0.04,0.08,-12.35
0.235,-0.13,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.235,-0.135,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.235,-0.14,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.08,-9.91
0.235,-0.145,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.235,-0.15,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.235,-0.155,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.235,-0.16,0.33,0.0,-1.74,-2.01,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-9.99
0.235,-0.165,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.235,-0.17,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.235,-0.175,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.235,-0.18,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,4.22,-5.69,-1.83,0.0,0.04,0.0,-7.52
0.235,-0.185,0.33,0.0,-1.74,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-11.74
0.235,-0.19,0.33,0.0,0.0,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-10.0
0.235,-0.195,0.33,0.0,0.0,0.46,0.0,0.36,-3.67,0.0,-5.69,-1.83,0.0,0.04,0.0,-10.0
0.235,-0.2,0.33,0.0,0.0,0.46,0.0,0.36,0.0,0.0,-5.69,-1.83,0.0,0.04,0.0,-6.33
